COP,Temp,Temp^2,Demand,Demand^2,Cooling Load
4.577765766,5.239999962,27.4575996,92.59534213,8573.897385,423.8797873
4.676220008,5.973333327,35.68071104,97.44360264,9495.255696,455.6677244
5.425429731,8.235714367,67.82699114,124.9449855,15611.24939,677.8802389
5.687472988,10.8733333,118.2293769,123.7362011,15310.64746,703.7463014
5.73003515,12.51333326,156.5835092,134.4635123,18080.43614,770.480652
5.51258282,13.81428569,190.834489,149.9836417,22495.09278,826.7972465
5.320559515,15.02500004,225.7506261,165.8213414,27496.71728,882.2623159
5.093089978,15.86428561,251.6755578,178.982342,32034.67876,911.5731724
5.025334448,17.04375005,290.4894157,182.2981067,33232.5997,916.1089552
5.125943735,16.72666651,279.7813727,170.81388,29177.38159,875.5823379
5.115966623,16.86666648,284.484438,169.8020436,28832.734,868.7015875
5.371592108,16.74285712,280.3232644,137.17608,18817.27692,736.8539487
5.445024284,16.27142859,264.7593882,122.3723734,14974.99778,666.320545
4.690480546,13.94285713,194.4032649,112.7679959,12716.62089,528.9360909
4.711771074,12.61428574,159.1202048,114.9036606,13202.85122,541.3997444
4.705835905,11.42499987,130.5306221,110.528102,12216.46133,520.1271109
4.6610027,10.85333316,117.7948406,108.6055263,11795.16034,506.2106513
4.651133325,10.72857148,115.1022461,110.1998323,12144.00303,512.5541124
4.660275665,10.55384629,111.3836714,109.9337267,12085.42428,512.3214716
4.742839992,10.66923083,113.8324865,109.2054054,11925.82057,517.9437642
4.798462133,10.19230769,103.8831361,107.6480865,11588.11054,516.545267
4.678918948,10.03076935,100.6163337,110.2650858,12158.38914,515.9213992
4.772928606,10.18666681,103.7681806,111.7659651,12491.63094,533.4509718
4.67776916,10.07333336,101.472045,111.0048677,12322.08066,519.2551469
4.805771718,9.900000059,98.01000116,114.5849118,13129.70202,550.6689286
4.827052631,9.771428517,95.48081526,114.568055,13125.83923,553.0260313
5.367475626,10.58666668,112.0775114,133.7229784,17881.83494,717.754827
5.620337456,12.32857132,151.9936708,129.9175594,16878.57224,730.1805253
5.651561751,12.61666663,159.180277,134.2086101,18011.95102,758.4882474
5.486511735,13.60000001,184.9600004,142.216778,20225.61195,780.2740216
5.270105465,15.26923062,233.1494038,166.157387,27608.27725,875.6669532
5.135980553,15.94615386,254.279823,173.9009471,30241.53942,893.1518827
5.083087489,16.13750005,260.4189078,176.5932207,31185.1656,897.6387908
5.054857118,16.39285701,268.7257608,181.0456734,32777.53585,915.1600107
5.19514237,15.60000009,243.3600027,169.0666744,28583.5404,878.3254438
5.562671034,14.48124999,209.7066012,127.9836892,16379.82469,711.9311605
5.582494986,13.0647059,170.6865404,110.388829,12185.69358,616.2450846
5.295017174,11.1882354,125.1766113,102.8177288,10571.48535,544.4216396
4.51396055,10.37857131,107.7147424,115.16544,13263.07857,519.8522529
4.62830513,10.17499995,103.530624,113.1194873,12796.0184,523.5515032
4.780248642,9.357142857,87.55612245,106.1583405,11269.59325,507.4632628
4.701144758,8.846153846,78.25443787,103.1534159,10640.62721,484.9391403
4.888924341,9.315384571,86.77638971,105.3145377,11091.15184,514.8748067
4.77955755,9.273333359,85.99471158,105.7908443,11191.70275,505.6334288
4.768389751,9.273333232,85.99470922,104.7584594,10974.33482,499.5291643
4.813057567,9.156250179,83.83691734,105.0577006,11037.12047,505.6487611
4.637722492,8.864285673,78.5755605,104.0852776,10833.745,482.7186328
4.726661139,8.373333359,70.11271154,101.5288667,10308.11077,479.8925485
4.705648422,8.464285714,71.64413265,103.2299518,10656.42295,485.7638598
4.790420015,8.814285823,77.69163457,103.7542884,10764.95236,497.0266196
4.820962158,9.586666489,91.90417436,107.5688654,11571.0608,518.5854295
4.676032472,10.53999996,111.0915992,111.3067924,12389.20205,520.4741758
4.645340559,11.30000013,127.6900029,116.7758921,13636.60898,542.4637879
5.420735885,11.80000019,139.2400045,117.0237,13694.54637,634.3545701
5.46790815,12.38750011,153.4501589,105.9965239,11235.26308,579.5792569
5.487629723,13.08461527,171.2071567,106.3521083,11310.77094,583.6209907
5.451876264,14.43333332,208.3211107,113.7228034,12932.87602,620.0026526
5.435696634,14.30666656,204.6807082,112.7833066,12720.07425,613.0558402
5.472755538,14.75384602,217.6759724,112.790255,12721.64163,617.2734928
5.576965796,14.26428584,203.4698504,109.7967662,12055.32986,612.3328095
5.59938949,12.86428581,165.4898494,103.36881,10685.11087,578.8022281
5.448411478,10.1642858,103.3127057,100.6726715,10134.98679,548.506139
5.548161815,9.72307704,94.53822713,97.40220597,9487.189728,540.4031999
5.516950018,9.457142694,89.43754793,95.1602211,9055.46768,524.9941835
5.384189679,9.471428462,89.70795712,92.99109239,8647.343264,500.6816799
4.742230733,9.481249869,89.89409908,100.5484603,10109.99288,476.8239988
4.77648747,9.386666361,88.10950538,103.0081272,10610.67427,492.0170289
4.829374259,9.128571442,83.33081658,103.9832942,10812.52548,502.1742446
4.764259033,8.93846145,79.8960931,101.8683393,10377.15856,485.3271559
4.800659437,8.280000083,68.55840137,100.5448676,10109.27041,482.6816677
4.722989694,7.418750018,55.03785183,96.66492677,9344.108068,456.5474529
4.399913914,6.361538484,40.46917188,94.34961891,8901.850589,415.130201
4.875246146,5.475000024,29.97562526,92.54726253,8564.995803,451.190685
4.521244771,6.900000027,47.61000038,99.01047496,9803.074151,447.6505921
4.65743425,9.028571333,81.51510032,104.2137652,10860.50886,485.3687594
4.77111879,10.79230771,116.4739056,111.6426632,12464.08426,532.6604083
4.632417175,13.08461534,171.2071586,118.1817989,13966.93759,547.4673949
4.513427532,14.67142861,215.2508175,128.6393782,16548.08961,580.6045111
4.760420009,16.55714308,274.1389868,131.5429964,17303.55991,626.1999123
5.515224947,16.68571424,278.4130599,119.1574167,14198.48995,657.179957
5.495180554,17.76428577,315.5698489,120.2161558,14451.92411,660.6094816
5.344699964,18.44615379,340.2605896,124.2331049,15433.86436,663.9886715
5.144708118,19.04666659,362.7755082,132.491301,17553.94485,681.629072
5.240587088,18.06153826,326.2191642,122.9371872,15113.552,644.2630358
5.437684247,17.95384612,322.3405907,119.1471554,14196.04463,647.8846098
5.325845219,17.20666644,296.0693699,114.4170803,13091.26826,609.36766
5.358542078,16.18749994,262.0351543,108.1605024,11698.69428,579.5826032
5.448465742,15.94666678,254.2961814,106.5750462,11358.24048,580.6704883
5.519007492,14.30714287,204.6943371,99.90256519,9980.522532,551.3630058
5.403921228,12.54166659,157.2934008,98.42677885,9687.830795,531.8905597
4.765794969,11.07857146,122.7347455,107.9398529,11651.01185,514.4192079
4.90559465,10.39285721,108.011481,107.3087062,11515.15842,526.413015
4.860577676,9.800000191,96.04000374,105.7640114,11186.0261,514.0741927
4.734681998,9.242857116,85.43040766,105.8393261,11201.96295,501.115552
4.712221597,8.747058868,76.51103885,105.6673648,11165.59198,497.9280384
4.769738846,8.564285619,73.34698816,105.3110589,11090.41912,502.3062485
4.775140453,8.538888878,72.91262328,108.3647143,11742.91131,517.4567311
4.806089792,8.756249964,76.67191344,111.8434456,12508.95633,537.5296423
4.932205471,9.79285717,95.90005155,122.7417778,15065.54401,605.3876679
5.230247063,11.15333328,124.3968433,122.3405647,14967.21378,639.8713793
5.625270997,13.27499998,176.2256244,125.5049173,15751.48426,705.9991711
4.731119193,16.27500004,264.8756262,178.5151749,31867.66766,844.57657
4.355671406,18.44615408,340.2606004,194.1319907,37687.22982,845.5751609
4.316797032,19.07692278,363.9289829,192.5919593,37091.6628,831.3803985
4.247720669,20.00588249,400.2353341,169.7579146,28817.74956,721.0842025
4.121823319,20.74285725,430.266127,208.6541102,43536.53771,860.035377
4.185385183,21.39230743,457.6308171,240.8858676,58026.00123,1008.200141
4.166628115,21.64000003,468.2896011,200.9900126,40396.98518,837.4506375
4.447514674,20.6624999,426.9389023,163.3421341,26680.65276,726.466538
4.586880525,19.47692314,379.3505348,138.8143344,19269.41945,636.7247673
5.214884648,17.41176493,303.169558,110.4656689,12202.66401,576.0657209
5.395972466,16.42857129,269.8979547,106.9135033,11430.49718,576.9023199
5.404888882,15.15625,229.7119141,103.6936976,10752.38292,560.4529133
5.317338877,14.33333341,205.4444467,101.2436509,10250.27684,538.3468008
5.367665893,13.84615385,191.7159763,98.72396228,9746.420729,529.9172452
5.301305068,13.12857137,172.3593863,99.18855782,9838.370002,525.8288042
5.283897438,12.37142835,153.0522395,99.16607124,9833.909685,523.9833497
5.199918889,11.35625005,128.9644151,100.9970326,10200.40059,525.1763774
4.775316649,10.43076919,108.8009458,110.2795609,12161.58156,526.6198234
4.871136828,10.00000007,100.0000014,107.9439081,11651.88729,525.8095461
4.773579512,9.870588359,97.42851455,115.346828,13304.89072,550.6172548
4.745147228,10.34666678,107.0535135,117.9070805,13902.07964,559.4864564
5.182934366,11.85882361,140.6316974,123.7905145,15324.09148,641.5981117
5.669308747,14.99285718,224.7857665,132.2681389,17494.86056,749.8689167
4.788497345,19.07142871,363.719393,204.1339066,41670.65182,977.4946697
4.071667824,22.04000003,485.7616011,262.171517,68733.90431,1067.47533
3.748255571,23.63076885,558.4132364,311.2238758,96860.30088,1166.546626
3.727500027,24.45714256,598.1518221,269.31845,72532.42751,1003.88453
3.858399992,25.35714286,642.9846939,249.585773,62293.05811,963.0017446
3.624186643,26.24000003,688.5376013,284.1181925,80723.14734,1029.697358
3.675813806,26.48823502,701.6265947,253.526393,64275.63193,931.9158156
3.58126665,26.09999979,681.2099893,181.4158086,32911.69562,649.6983851
3.921224285,25.26428563,638.2841285,182.2081701,33199.81725,714.4791015
3.854169977,23.78750002,565.8451574,181.7588074,33036.26406,700.5293384
3.819535127,23.08666687,532.9941872,219.2247467,48059.48957,837.3366206
4.005983797,22.35714313,499.8418489,197.5172861,39013.07833,791.251048
4.266443869,20.47499979,419.2256162,168.2567805,28310.34418,717.8581095
4.360867453,18.74999986,351.5624949,149.7903801,22437.15797,653.2159933
5.219239436,17.81999982,317.5523937,111.0122771,12323.72567,579.3996545
5.511528211,17.21875012,296.4853557,109.3744352,11962.76708,602.8202853
5.60488416,15.33333349,235.111116,102.1689198,10438.48818,572.6449603
5.610379996,14.36428574,206.3327049,99.51115199,9902.469371,558.2953765
5.704736823,13.2562499,175.7281615,98.45322398,9693.037312,561.6497321
5.615312858,12.88666662,166.0661765,99.60157482,9920.473708,559.2940037
5.574078974,12.34444454,152.385311,104.4772969,10915.50557,582.3647041
5.826208858,12.99230759,168.8000565,112.9895388,12766.63587,658.3006515
5.23302171,14.44375008,208.6219165,169.2695807,28652.19096,885.7913909
4.56066573,17.67500043,312.4056402,200.207697,40083.12193,913.0803825
4.110438457,20.26428591,410.6412832,248.8167431,61909.77166,1022.74591
3.985129018,21.45333328,460.2455089,268.1390824,71898.5675,1068.568838
3.944044837,21.5428569,464.0946833,257.5517468,66332.90226,1015.795637
3.759533326,22.07999992,487.5263966,282.6689065,79901.71069,1062.703174
3.75033436,22.57999967,509.8563851,304.4985628,92719.37476,1141.971423
3.710583337,22.65624988,513.3056587,307.3711863,94477.04618,1140.526402
4.102618694,21.46470575,460.7335928,242.7876415,58945.83888,996.0651169
4.44230978,18.83125031,354.6159882,180.9251286,32733.90215,803.725468
4.625651274,15.83076895,250.6132456,146.0889893,21341.99278,675.7567193
4.500292301,15.14999996,229.5224988,139.1854635,19372.59326,626.37527
4.546789483,14.90000003,222.0100008,136.7634289,18704.2355,621.8345204
5.405658364,14.06428576,197.8041338,107.9037952,11643.22903,583.2910533
5.332013168,13.86666663,192.2844436,109.7597472,12047.2021,585.2404171
5.533002966,13.87692312,192.5689953,108.8768003,11854.15765,602.415659
5.590874417,13.61428581,185.3487781,106.2036424,11279.21365,593.7712272
5.560856465,13.35294118,178.3010381,103.1360867,10637.05238,573.5249744
5.548632493,12.91875017,166.8941059,103.4794538,10707.99737,574.1694599
5.44130815,11.91249985,141.9076526,99.97198115,9994.397015,543.9783559
4.621031703,11.35999997,129.0495994,106.8726829,11421.77035,493.8620559
4.54672755,11.18666662,125.14151,116.3540222,13538.25849,529.0300384
4.365902424,10.80624998,116.7750385,122.4428944,14992.26238,534.5737292
