Location,Building Number,Gas Meter Asset #,Boiler Asset #,Boiler Type,Boiler Service Level,Date Serviced,Boiler Condition Rating,Boiler Manufacture Year,Boiler Age,Boiler Life Expectancy,Boiler Heating Capacity (kW),Gas Energy Comsumption Gas Per Annum- Measured 2019(GJ),Gas CO2 Emissions Per Annum- Measured (kg),Chiller Full Load COP Est.,Cooling Capacity,Current Chiller Input Electrical Peak Future (kW),Boiler Input Electrical Peak current (kW),Heat Pump Input Electrical Peak Future (kW),HHW feed temperature requirements,Net Electrical Load Change considering diversity between Chiller & heat Pump Usage,Proposed Thermal Hub,,Hub maths,Approximate Building Timeschedule,Can timeschedule be modified to save energy?,can load shedding or other load manipulation be utilised for buildings central heating and cooling systems?,Can space temperature setpoints be adjusted remotely in realtime,Does the building have afterhours push buttons
School of Art,105,446920,401011,Force Draft,Silver,44232,4,2006 Tomlinson,15 Years,20 Years,400,5436,279372.348,3,325,108.3333333,2,166.6666667,80,391.6666667,G,391.6666667,0,,,,,
School of Art,105,446920,401013,Force Draft,Silver,44232,4,2006 Tomlinson,15 Years,20 Years,400,,,,,,2,166.6666667,80,,G,,0,,,,,
School of Art,105,446920,401012,Force Draft,Silver,44232,4,2006 Tomlinson,15 Years,20 Years,400,,,,,,2,166.6666667,80,,G,,0,,,,,
MSO Duffield,105,446920,432276,Atmospheric Boiler,Silver,44230,4,2003 Raypak,18 Years,15 Years,300,472.07,24261.09351,0,0,0,2,125,80,125,No,125,125,,,,,
Copland,24,446814,450266,Condensing Boiler,Silver,44235,4,2015 Rendamax,6 Years,15 Years,428,1408.641,72394.28691,0,0,0,2,178.3333333,80,178.3333333,I,178.3333333,0,,,,,
Leonard Huxley,56,446837,450428,Condensing Boiler,Silver,44232,5,2018 Rendamax,3 Years,15 Years,193,746.582,38369.08873,2.6,60,23.07692308,2,80.41666667,80,83.58974359,No,83.58974359,83.58974359,,,,,
Leonard Huxley,56,446837,446604,Atmospheric Boiler,Silver,44232,2,2003 Raypak,18 Years,15 Years,63,,,,,,2,26.25,80,,,,0,,,,,
Cockroft,58,446850,412153,Force Draft,Silver,44236,4,2005 TNAR 203,17 Years,30 Years,203,231.451,11894.96124,2.9,320,110.3448276,2,84.58333333,80,58.82183908,A,58.82183908,0,,,,,
Cockroft,58,446850,412154,Force Draft,Silver,44236,4,2005 TNAR 203,16 Years,30 Years,203,,,,,,2,84.58333333,80,,,,0,,,,,
Eric Weigold,58B,446850,412038,Force Draft,Silver,44237,4,2003 TNAR 203,18 Years,30 Years,203,3942.05,202593.7757,2.9,500,172.4137931,2,84.58333333,80,-3.247126437,A,-3.247126437,0,,,,,
Eric Weigold,58B,446850,412039,Force Draft,Silver,44236,4,2003 TNAR 203,18 Years,30 Years,203,,,,,,2,84.58333333,80,,,,0,,,,,
Heavy Ion Accelerator,58A,446839,412230,Atmospheric Boiler,Silver,44235,2,2002 Raypak,19 Years,15 Years,150,226,11614.818,2.95,1550,525.4237288,2,62.5,80,-462.9237288,A,-462.9237288,0,,,,,
M Block,62A,446832,412243,Atmospheric Boiler,Silver,43839,2,2003 Raypak,17 Years,15 Years,62,553,28420.329,0,0,0,2,25.83333333,80,25.83333333,No,25.83333333,25.83333333,,,,,
Oliphant Building,60,446832,458219,Atmospheric Boiler,Silver,44231,4,2009 Raypak,12 Years,15 Years,410,2800,143900.4,0,0,0,2,170.8333333,80,341.6666667,A,341.6666667,0,,,,,
Oliphant Building,60,446832,458215,Atmospheric Boiler,Silver,44231,3,2009 Raypak,12 Years,15 Years,410,,,,,,2,170.8333333,80,,,,0,,,,,
