Index,COP,Temp,Demand,Load
335,3.560495677,14.38333337,90.32459591,321.6003333
336,3.413591271,14.35000006,91.90272588,313.7183428
337,4.089047407,14.35999966,100.0811001,409.2363627
338,3.676188919,13.85999966,95.90521071,352.5656729
339,4.057749992,13.81333338,111.450298,452.2374457
340,3.678748633,13.33846151,98.61943755,362.7961211
341,3.768938693,13.0285714,102.1249823,384.9027974
342,3.53559121,13.5333333,94.32102978,333.4806038
343,,,0.79484845,0
344,,,0.763730913,0
345,,,0.756450793,0
346,,,0.757045304,0
347,,,0.752430833,0
348,,,0.751650113,0
349,,,0.754744169,0
350,,,0.752751603,0
351,,,0.761772684,0
352,,,0.753832242,0
353,,,0.767563908,0
354,,,0.766466109,0
355,,,0.762542457,0
356,,,0.768960256,0
357,,,0.765694544,0
358,,,0.761141084,0
359,,,0.761867458,0
360,,,0.767492025,0
361,,,0.767237662,0
362,,,0.756396885,0
363,,,0.752929308,0
364,,,0.758506221,0
365,,,0.757731971,0
366,,,0.752167817,0
367,,,0.754506886,0
368,,,0.759257027,0
369,,,0.756581394,0
370,,,0.754116704,0
371,,,0.747120075,0
372,,,0.75423404,0
373,,,0.751679674,0
374,,,0.763437959,0
375,,,0.761569886,0
376,,,0.765079084,0
377,,,0.768663661,0
378,,,0.762844098,0
379,,,0.76533737,0
380,,,0.771121063,0
381,,,0.764435355,0
382,,,0.771984573,0
383,,,0.771076202,0
384,,,0.770482254,0
385,,,0.769642789,0
386,,,0.771111175,0
387,,,0.774201071,0
388,,,0.767151902,0
389,,,0.760800681,0
390,,,0.765554132,0
391,,,0.761952423,0
392,,,0.766860272,0
393,,,0.767159253,0
394,,,0.764811218,0
395,,,0.759206541,0
396,,,0.759604387,0
397,,,0.7622373,0
398,,,0.765571564,0
399,,,0.764706066,0
400,,,0.759478899,0
401,,,0.76481345,0
402,,,0.756626127,0
403,,,0.760708205,0
404,,,0.769635742,0
405,,,0.773369021,0
406,,,0.765596716,0
407,,,0.76788147,0
408,,,0.770418537,0
409,,,0.776029475,0
410,,,0.771211859,0
411,,,0.767111924,0
412,,,0.758687508,0
413,,,0.7716521,0
414,,,0.773338112,0
415,,,0.770478015,0
416,,,0.765020009,0
417,,,0.759445223,0
418,,,0.758146773,0
419,,,0.762374554,0
420,,,0.760374695,0
421,,,0.753165609,0
422,,,0.760952369,0
423,,,0.768436825,0
424,,,0.758368607,0
425,,,0.752346853,0
426,,,0.759421125,0
427,,,0.759715087,0
428,,,0.766907096,0
429,,,0.766443058,0
430,,,0.768349387,0
431,,,0.766983874,0
432,,,0.771486992,0
433,,,0.77665772,0
434,,,0.772894111,0
435,,,0.761305872,0
436,,,0.760866423,0
437,,,0.763363417,0
438,,,0.762325648,0
439,,,0.762611109,0
440,,,0.764536101,0
441,,,0.76383358,0
442,,,0.76113203,0
443,,,0.756711326,0
444,,,0.760325142,0
445,,,0.757180149,0
446,,,0.75574205,0
447,,,0.755475832,0
448,,,0.754584572,0
449,,,0.756470099,0
450,,,0.750523067,0
451,,,0.754946671,0
452,,,0.761742008,0
453,,,0.768657362,0
454,,,0.76254225,0
455,,,0.767891772,0
456,,,0.766711425,0
457,,,0.763687925,0
458,,,0.76946521,0
459,,,0.768255323,0
460,,,0.758507098,0
461,,,0.761288478,0
462,,,0.75536293,0
463,,,0.758883746,0
464,,,0.767508622,0
465,,,0.767120139,0
466,,,0.759381201,0
467,,,0.765228341,0
468,,,0.764378513,0
469,,,0.762404164,0
470,,,0.767506289,0
471,,,0.764953348,0
472,,,0.764144502,0
473,,,0.755118327,0
474,,,0.75243951,0
475,,,0.759548247,0
476,,,0.763859008,0
477,,,0.759873,0
478,,,0.761321412,0
479,,,0.760482271,0
480,,,0.762297034,0
481,,,0.764075577,0
482,,,0.761165224,0
483,,,0.760074492,0
484,,,0.755280581,0
485,,,0.755744773,0
486,,,0.761495784,0
487,,,0.761091138,0
488,,,0.75558879,0
489,,,0.748046244,0
490,,,0.750660563,0
491,,,0.753777881,0
492,,,0.754108538,0
493,,,0.758347207,0
494,,,0.754620364,0
495,,,0.74748971,0
496,,,0.749296049,0
497,,,0.752607046,0
498,,,0.752554089,0
499,,,0.751879779,0
500,,,0.757690549,0
501,,,0.761217833,0
502,,,0.761040565,0
503,,,0.763244741,0
504,,,0.764819203,0
505,,,0.765974639,0
506,,,0.766999418,0
507,,,0.767231382,0
508,,,0.75591939,0
509,,,0.758341477,0
510,,,0.752340508,0
511,,,0.749400636,0
512,,,0.749936402,0
513,,,0.752251875,0
514,,,0.765827377,0
515,,,0.760020101,0
516,,,0.762929229,0
517,,,0.767981946,0
518,,,0.75807694,0
519,,,0.751375101,0
520,,,0.752261621,0
521,,,0.760578873,0
522,,,0.76493737,0
523,,,0.756250998,0
524,,,0.759635095,0
525,,,0.765863425,0
526,,,0.762930418,0
527,,,0.764714033,0
528,,,0.769074152,0
529,,,0.765334829,0
530,,,0.764296249,0
531,,,0.759830096,0
532,,,0.752537795,0
533,,,0.753508257,0
534,,,0.761601132,0
535,,,0.755622989,0
536,,,0.765332099,0
537,,,0.762340715,0
538,,,0.76379948,0
539,,,0.760050257,0
540,,,0.759272122,0
541,,,0.755066545,0
542,,,0.7516485,0
543,,,0.75830044,0
544,,,0.751680478,0
545,,,0.757116385,0
546,,,0.750525087,0
547,,,0.759048879,0
548,,,0.758419804,0
549,,,0.757775618,0
550,,,0.757179137,0
551,,,0.760990034,0
552,,,0.764144276,0
553,,,0.76535167,0
554,,,0.766711535,0
555,,,0.757337225,0
556,,,0.761414394,0
557,,,0.759761858,0
558,,,0.755016675,0
559,,,0.750658365,0
560,,,0.758534141,0
561,,,0.752386297,0
562,,,0.755954659,0
563,,,0.753917478,0
564,,,0.757276505,0
565,,,0.756192779,0
566,,,0.757580588,0
567,,,0.75628302,0
568,,,0.758858556,0
569,,,0.757860048,0
570,,,0.763849692,0
571,,,0.753815686,0
