energy_in,avg_temp,temp_sp,temp_out,bld_hrs
53.97,18.64,22.5,7.36,0
44.06,18.75,22.5,7.57,0
44.94,18.95,22.5,7.66,0
47.97,19.11,22.5,7.84,1
49.07,19.27,22.5,7.97,1
44.91,19.41,22.5,8.05,1
39.03,19.65,22.5,8.27,1
41.02,19.72,22.5,8.4,1
41.05,19.78,22.5,8.62,1
37.99,19.93,22.5,8.88,1
41.98,19.95,22.5,9.29,1
33,20.06,22.5,9.73,1
33.98,20.1,22.5,9.9,1
32.03,20.11,22.5,10.21,1
33,20.15,22.5,10.29,1
38.03,20.1,22.5,10.3,1
34.9,20.13,22.5,10.49,1
31.07,20.1,22.5,10.58,1
29.97,20.1,22.5,11.21,1
35.97,20.14,22.5,11.14,1
38.01,20.11,22.5,10.97,1
34.98,20.12,22.5,10.82,1
34.05,20.21,22.5,10.92,1
33,20.25,22.5,11.25,1
33,20.25,22.5,11.53,1
35.95,20.32,22.5,11.65,1
34.97,20.37,22.5,11.29,1
37.01,20.37,22.5,11.04,1
37.05,20.35,22.5,10.8,1
45.06,20.34,22.5,10.67,1
38.96,20.37,22.5,10.66,1
35.98,20.38,22.5,10.66,1
37.95,20.38,22.5,10.79,1
37.08,20.31,22.5,10.82,1
34.95,20.29,22.5,10.8,1
32.05,20.25,22.5,10.56,1
30.92,20.27,22.5,10.38,1
37.05,20.24,22.5,10.06,1
37.06,20.26,22.5,9.77,1
35.95,20.3,22.5,9.55,0
35.97,20.28,22.5,9.29,0
31.06,20.32,22.5,9.05,0
37.9,20.32,22.5,8.97,0
37.03,20.33,22.5,8.86,0
31.03,20.36,22.5,8.71,0
30.02,20.36,22.5,8.7,0
32.97,20.35,22.5,8.68,0
32,20.42,22.5,8.49,0
38.98,20.41,22.5,8.32,0
42.06,20.61,22.5,8.05,0
40.91,20.71,22.5,7.84,0
44.04,20.68,22.5,7.7,0
42.05,20.56,22.5,7.62,0
29.93,20.22,22.5,7.57,0
11.99,19.77,22.5,7.47,0
11.1,19.58,22.5,7.44,0
11.98,19.39,22.5,7.27,0
9.03,19.23,22.5,7.33,0
6.91,18.99,22.5,7.47,0
6.05,18.82,22.5,7.55,0
7.03,18.7,22.5,7.55,0
5.93,18.59,22.5,7.55,0
7.03,18.64,22.5,7.4,0
7.05,18.65,22.5,7.3,0
6.9,18.64,22.5,7.16,0
6.05,18.62,22.5,7.07,0
7.03,18.71,22.5,7.05,0
5.94,18.73,22.5,7.09,0
8.03,18.74,22.5,7.07,0
6.05,18.73,22.5,7.07,0
7.9,18.71,22.5,6.9,0
6.06,18.71,22.5,6.48,0
7.03,18.68,22.5,6.44,0
5.93,18.68,22.5,6.51,0
7.03,18.67,22.5,6.73,0
6.05,18.64,22.5,6.94,0
6.91,18.62,22.5,7.03,0
6.05,18.62,22.5,6.86,0
3.95,18.6,22.5,6.77,0
5.07,18.6,22.5,6.92,0
4.93,18.58,22.5,6.94,0
3.07,18.57,22.5,6.73,0
4.96,18.57,22.5,6.6,0
5.05,18.54,22.5,6.53,0
4.93,18.52,22.5,6.51,0
6.05,18.67,22.5,6.59,0
12.98,19.1,22.5,6.53,0
22.97,18.98,22.5,6.33,0
34.03,18.61,22.5,6.05,0
33,18.5,22.5,6.09,0
33.02,18.6,22.5,5.96,0
32.95,18.54,22.5,5.88,0
34.02,18.54,22.5,5.96,0
64.04,18.42,22.5,6.05,0
51.02,18.49,22.5,6.09,0
53.99,18.74,22.5,6.14,0
51.92,18.83,22.5,6.22,0
42.98,19,22.5,5.94,0
46,19.15,22.5,5.75,0
44.04,19.2,22.5,5.64,1
48.07,19.36,22.5,5.55,1
39.96,19.57,22.5,5.48,1
42.02,19.69,22.5,5.48,1
42.99,19.78,22.5,5.53,1
40.96,19.87,22.5,5.81,1
40.05,19.91,22.5,6.18,1
32,19.9,22.5,6.31,1
32.03,19.9,22.5,6.75,1
30.91,19.92,22.5,7.07,1
32.02,19.91,22.5,7.95,1
29.97,19.9,22.5,8.82,1
22.09,19.92,22.5,9.93,1
20.89,19.96,22.5,10.55,1
26.04,20.01,22.5,11.17,1
29.02,20.01,22.5,11.69,1
24.94,20.06,22.5,12.14,1
26.09,20.08,22.5,12.6,1
24.97,20.17,22.5,12.88,1
25.94,20.21,22.5,12.75,1
28,20.25,22.5,12.56,1
27.04,20.28,22.5,12.43,1
35.05,20.33,22.5,12.52,1
38.98,20.37,22.5,12.62,1
38.92,20.42,22.5,12.58,1
40,20.44,22.5,12.47,1
32.03,20.48,22.5,12.77,1
26.06,20.48,22.5,12.93,1
34.93,20.5,22.5,12.77,1
33.07,20.5,22.5,12.47,1
30.96,20.5,22.5,12.6,1
34,20.56,22.5,12.43,1
29.97,20.54,22.5,12.12,1
30.1,20.51,22.5,11.95,1
31.98,20.48,22.5,11.62,1
35,20.43,22.5,11.3,1
36.98,20.43,22.5,11.16,0
32.05,20.39,22.5,11.04,0
29,20.4,22.5,10.97,0
22.94,20.4,22.5,10.86,0
32.02,20.38,22.5,10.82,0
38.05,20.4,22.5,10.9,0
36.98,20.46,22.5,10.9,0
33.02,20.52,22.5,10.82,0
36.01,20.55,22.5,10.77,0
38.91,20.54,22.5,10.69,0
42,20.54,22.5,10.56,0
35.01,20.57,22.5,10.38,0
33.02,20.51,22.5,10.21,0
31.01,20.41,22.5,9.9,0
35.05,20.41,22.5,9.56,0
28.92,20.39,22.5,9.34,0
30.02,20.38,22.5,8.88,0
38.01,20.33,22.5,8.45,0
30.98,20.31,22.5,8.07,0
28.02,20.3,22.5,7.66,0
27.05,20.29,22.5,7.42,0
35.96,20.21,22.5,7.22,0
33.04,20.23,22.5,6.8,0
27.9,20.24,22.5,6.4,0
32.07,20.19,22.5,6.2,0
39.01,20.18,22.5,5.72,0
10.96,20.1,22.5,5.53,0
7.03,19.98,22.5,5.27,0
5.93,19.83,22.5,5.07,0
8.03,19.75,22.5,4.77,0
8.03,19.68,22.5,4.53,0
7.03,19.58,22.5,4.35,0
5.93,19.48,22.5,4.18,0
8.03,19.38,22.5,4.13,0
7.03,19.3,22.5,4.18,0
9.01,19.23,22.5,4.09,0
6.93,19.1,22.5,4.03,0
9,19.06,22.5,4.09,0
7.03,18.99,22.5,4.16,0
10.01,18.96,22.5,4.2,0
7.03,18.85,22.5,4.14,0
8.03,18.81,22.5,3.77,0
8.9,18.75,22.5,3.46,0
7.03,18.69,22.5,3.24,0
8.03,18.65,22.5,3,0
8.03,18.56,22.5,2.83,0
9.98,18.71,22.5,2.66,0
19.03,18.96,22.5,2.59,0
24.98,18.86,22.5,2.55,0
34.97,18.38,22.5,2.55,0
36.97,18.19,22.5,2.52,0
38.97,18.15,22.5,2.55,0
33.05,18.1,22.5,2.53,0
37.01,18.08,22.5,2.46,0
66.96,17.91,22.5,2.59,0
64.05,18.03,22.5,2.65,0
58.03,18.24,22.5,2.7,0
65.01,18.33,22.5,2.78,0
54.97,18.51,22.5,3.11,0
52.95,18.75,22.5,3.48,0
54.07,18.93,22.5,3.79,1
43.01,19.01,22.5,4.22,1
49.96,19.14,22.5,4.75,1
42.04,19.27,22.5,5.36,1
43.91,19.4,22.5,6.09,1
45.06,19.52,22.5,6.83,1
